,0
0,https://www.arabalar.com.tr/alfa-romeo/junior
3,https://www.arabalar.com.tr/audi/a3
4,https://www.arabalar.com.tr/audi/a5
5,https://www.arabalar.com.tr/audi/a6
6,https://www.arabalar.com.tr/audi/q2
7,https://www.arabalar.com.tr/audi/q3
8,https://www.arabalar.com.tr/audi/q4
15,https://www.arabalar.com.tr/bmw/1-serisi
16,https://www.arabalar.com.tr/bmw/2-serisi
17,https://www.arabalar.com.tr/bmw/3-serisi
18,https://www.arabalar.com.tr/bmw/4-serisi
19,https://www.arabalar.com.tr/bmw/5-serisi
20,https://www.arabalar.com.tr/bmw/6-serisi
21,https://www.arabalar.com.tr/bmw/x1
22,https://www.arabalar.com.tr/bmw/x2
23,https://www.arabalar.com.tr/bmw/x3
26,https://www.arabalar.com.tr/byd/dolphin
27,https://www.arabalar.com.tr/byd/atto-3
28,https://www.arabalar.com.tr/byd/seal-u
29,https://www.arabalar.com.tr/byd/seal
30,https://www.arabalar.com.tr/byd/han
31,https://www.arabalar.com.tr/byd/tang
32,https://www.arabalar.com.tr/chery/tiggo-7-pro-max
33,https://www.arabalar.com.tr/chery/tiggo-8-pro-max
34,https://www.arabalar.com.tr/chery/omoda-5-pro
41,https://www.arabalar.com.tr/chevrolet/aveo
42,https://www.arabalar.com.tr/chevrolet/cruze
43,https://www.arabalar.com.tr/chevrolet/captiva
44,https://www.arabalar.com.tr/chevrolet/lacetti
45,https://www.arabalar.com.tr/chevrolet/trax
46,https://www.arabalar.com.tr/chevrolet/camaro
47,https://www.arabalar.com.tr/citroen/c4
48,https://www.arabalar.com.tr/citroen/c4-x
49,https://www.arabalar.com.tr/citroen/c5-aircross
50,https://www.arabalar.com.tr/citroen/c3
51,https://www.arabalar.com.tr/citroen/c3-aircross
52,https://www.arabalar.com.tr/citroen/ami
53,https://www.arabalar.com.tr/citroen/berlingo
54,https://www.arabalar.com.tr/citroen/c-elysee
55,https://www.arabalar.com.tr/citroen/c1
56,https://www.arabalar.com.tr/citroen/c3-picasso
57,https://www.arabalar.com.tr/citroen/c4-cactus
58,https://www.arabalar.com.tr/citroen/c4-picasso
59,https://www.arabalar.com.tr/citroen/c5
60,https://www.arabalar.com.tr/citroen/nemo
61,https://www.arabalar.com.tr/citroen/xsara
62,https://www.arabalar.com.tr/dacia/duster
63,https://www.arabalar.com.tr/dacia/sandero
64,https://www.arabalar.com.tr/dacia/jogger
65,https://www.arabalar.com.tr/dacia/dokker
66,https://www.arabalar.com.tr/dacia/lodgy
67,https://www.arabalar.com.tr/dacia/logan-mcv
68,https://www.arabalar.com.tr/dacia/logan
69,https://www.arabalar.com.tr/fiat/egea
70,https://www.arabalar.com.tr/fiat/egea-cross
71,https://www.arabalar.com.tr/fiat/doblo-combi
72,https://www.arabalar.com.tr/fiat/600
73,https://www.arabalar.com.tr/fiat/ulysse
74,https://www.arabalar.com.tr/fiat/topolino
75,https://www.arabalar.com.tr/fiat/500l
76,https://www.arabalar.com.tr/fiat/500x
77,https://www.arabalar.com.tr/fiat/albea
78,https://www.arabalar.com.tr/fiat/brava
79,https://www.arabalar.com.tr/fiat/bravo
80,https://www.arabalar.com.tr/fiat/doblo
81,https://www.arabalar.com.tr/fiat/fiorino
82,https://www.arabalar.com.tr/fiat/freemont
83,https://www.arabalar.com.tr/fiat/linea
84,https://www.arabalar.com.tr/fiat/marea
85,https://www.arabalar.com.tr/fiat/palio
86,https://www.arabalar.com.tr/fiat/panda
87,https://www.arabalar.com.tr/fiat/punto
88,https://www.arabalar.com.tr/fiat/siena
89,https://www.arabalar.com.tr/fiat/stilo
90,https://www.arabalar.com.tr/fiat/tempra
91,https://www.arabalar.com.tr/fiat/tipo
92,https://www.arabalar.com.tr/fiat/uno
93,https://www.arabalar.com.tr/fiat/doblo-cargo
94,https://www.arabalar.com.tr/ford/focus
95,https://www.arabalar.com.tr/ford/puma
96,https://www.arabalar.com.tr/ford/kuga
97,https://www.arabalar.com.tr/ford/tourneo-courier
98,https://www.arabalar.com.tr/ford/tourneo-connect
99,https://www.arabalar.com.tr/ford/transit-courier
100,https://www.arabalar.com.tr/ford/fiesta
101,https://www.arabalar.com.tr/ford/b-max
102,https://www.arabalar.com.tr/ford/c-max
103,https://www.arabalar.com.tr/ford/ecosport
104,https://www.arabalar.com.tr/ford/escort
105,https://www.arabalar.com.tr/ford/fusion
106,https://www.arabalar.com.tr/ford/ka
107,https://www.arabalar.com.tr/ford/mondeo
108,https://www.arabalar.com.tr/ford/ranger
109,https://www.arabalar.com.tr/ford/taunus
